x	Curve1	Curve2	Curve3	Curve4	Curve5
0.04545	0.99951	1.00602	1.00087	0.99667	0.99892
0.05038	0.99892	1.00472	0.99979	0.99555	0.99765
0.06024	0.99775	1.00212	0.99765	0.99331	0.9951
0.06211	0.99753	1.00163	0.99724	0.99289	0.99462
0.06832	0.99679	1	0.99589	0.99147	0.99299
0.14898	0.9861	0.97831	0.97589	0.97087	0.96629
0.16377	0.98367	0.9741	0.97119	0.96625	0.9598
0.19335	0.97813	0.96525	0.9604	0.95551	0.94556
0.24758	0.96501	0.94669	0.93674	0.92823	0.91619
0.25466	0.96296	0.94393	0.93334	0.92393	0.91207
0.25744	0.96214	0.94283	0.932	0.92221	0.91044
0.3018	0.94745	0.92304	0.90874	0.8928	0.88211
0.31906	0.94108	0.9143	0.89868	0.88116	0.86968
0.33138	0.93634	0.90774	0.89126	0.8729	0.86046
0.37329	0.91928	0.88398	0.86518	0.84508	0.82841
0.38068	0.91615	0.87968	0.86046	0.84019	0.82273
0.4004	0.90766	0.86824	0.84776	0.82715	0.80762
0.42505	0.89684	0.85404	0.83178	0.81078	0.78893
0.43984	0.89029	0.84565	0.82225	0.80089	0.77789
0.45963	0.88148	0.8346	0.80963	0.78754	0.7633
0.47681	0.87384	0.82519	0.79874	0.77584	0.75077
0.48914	0.86837	0.81855	0.79095	0.76738	0.74184
0.51625	0.85633	0.80409	0.77383	0.7486	0.7223
0.51872	0.85523	0.80278	0.77228	0.74688	0.72053
0.59513	0.82099	0.76088	0.72368	0.69291	0.66658
0.60252	0.81762	0.7566	0.71892	0.68759	0.66155
0.6321	0.80401	0.73897	0.69976	0.66634	0.64171
0.64596	0.79753	0.73051	0.69072	0.65654	0.63249
0.69126	0.77578	0.70267	0.6611	0.62627	0.60221
0.71344	0.76483	0.68927	0.64672	0.61255	0.58708
0.73563	0.75372	0.67625	0.63253	0.59925	0.57155
0.76767	0.73745	0.65829	0.61256	0.58032	0.54899
0.79503	0.72346	0.64359	0.59621	0.56395	0.53079
